end_station,duration
University and Emerson,4710.89772727273
Cyril Magnin St at Ellis St,2926.22058823529
San Jose Civic Center,2372.58423493045
Charleston Park/ North Bayshore Area,2370.22615803815
Franklin at Maple,2068.6
Palo Alto Caltrain Station,1927.44844357977
California Ave Caltrain Station,1825.5910543131
5th S at E. San Salvador St,1767.0
Rengstorff Avenue / California Street,1658.5
Sequoia Hospital,1633.5
Powell at Post (Union Square),1631.98155673648
Santa Clara County Civic Center,1604.77399380805
S. Market St at Park Ave,1585.74757281553
Grant Avenue at Columbus Avenue,1478.68141836174
Arena Green / SAP Center,1426.47592592593
Park at Olive,1405.99264705882
Embarcadero at Sansome,1400.38250762937
Embarcadero at Vallejo,1372.67024684379
South Van Ness at Market,1366.03096774194
San Francisco City Hall,1361.31942215088
Golden Gate at Polk,1277.80007601672
SJSU - San Salvador at 9th,1227.61968680089
Ryland Park,1223.40402969247
Cowper at University,1210.07079646018
Middlefield Light Rail Station,1199.87096774194
Redwood City Public Library,1186.70149253731
San Jose City Hall,1147.76053215078
Redwood City Caltrain Station,1147.66666666667
San Salvador at 1st,1084.99333333333
San Antonio Caltrain Station,1083.68190127971
Stanford in Redwood City,1071.65904365904
Washington at Kearny,1061.88506107109
Market at 10th,1044.92866020383
Civic Center BART (7th at Market),1033.10343347639
Market at 4th,1022.00102234555
MLK Library,1012.9728
San Mateo County Center,1008.02884615385
Mountain View Caltrain Station,996.882961783439
Powell Street BART,991.009053738318
Japantown,969.828918322296
SJSU 4th at San Carlos,967.132432432432
Harry Bridges Plaza (Ferry Building),918.877354048964
Clay at Battery,856.799765258216
Adobe on Almaden,828.990789473684
San Pedro Square,816.377488514548
Castro Street and El Camino Real,802.502173913044
Yerba Buena Center of the Arts (3rd @ Howard),757.095514112903
Broadway St at Battery St,756.494616846105
Post at Kearny,744.221122112211
Evelyn Park and Ride,739.013157894737
Davis at Jackson,735.510463121784
Mechanics Plaza (Market at Battery),731.368790591539
Santa Clara at Almaden,726.675843083276
Paseo de San Antonio,724.440170940171
San Antonio Shopping Center,724.399671052632
San Francisco Caltrain (Townsend at 4th),723.110629443385
Beale at Market,699.791838134431
Embarcadero at Bryant,697.743581616482
5th St at E. San Salvador St,686.0
Kaiser Hospital,670.296296296296
Steuart at Market,668.527482330337
Townsend at 7th,666.20582801478
Mountain View City Hall,651.160204828091
Mezes,644.850877192982
2nd at Townsend,633.257044057377
Embarcadero at Folsom,613.881648422408
Market at Sansome,612.926951946142
San Francisco Caltrain 2 (330 Townsend),609.492032547889
Spear at Folsom,608.985535197686
San Jose Diridon Caltrain Station,599.522307692308
Howard at 2nd,592.663818038391
5th at Howard,583.572311104071
Temporary Transbay Terminal (Howard at Beale),582.835282729693
St James Park,578.417298937784
Commercial at Montgomery,564.716529250098
2nd at Folsom,557.050760233918
2nd at South Park,531.589903573454
5th St at Folsom St,527.298013245033
Redwood City Medical Center,359.083333333333
Mezes Park,257.0
